host_since,first_review,neighbourhood_cleansed
2015-01-27,2016-08-12,ΑΚΡΟΠΟΛΗ
2011-12-10,2017-03-16,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-07-23,2016-06-26,ΒΟΤΑΝΙΚΟΣ
2016-05-20,2016-06-02,ΣΤΑΔΙΟ
2014-07-23,2016-06-11,ΓΚΑΖΙ
2014-01-25,,ΑΝΩ ΚΥΨΕΛΗ
2015-01-20,2016-06-08,ΑΜΠΕΛΟΚΗΠΟΙ
2016-05-21,2016-07-02,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-10-13,2016-06-01,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-05-22,2016-07-22,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-05-22,2016-06-30,ΚΥΨΕΛΗ
2016-05-23,2016-08-29,ΖΑΠΠΕΙΟ
2016-05-24,2016-07-24,ΚΕΡΑΜΕΙΚΟΣ
2015-08-21,2017-09-03,ΠΕΔΙΟ ΑΡΕΩΣ
2016-05-25,2016-06-06,ΝΕΟΣ ΚΟΣΜΟΣ
2016-05-25,2017-06-23,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-02-19,2016-06-02,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-05-03,2016-06-27,ΠΑΓΚΡΑΤΙ
2015-01-25,2016-06-02,ΚΕΡΑΜΕΙΚΟΣ
2014-11-30,2016-10-02,ΛΥΚΑΒΗΤΤΟΣ
2013-04-02,2017-11-28,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2015-10-11,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2018-03-07,2016-10-29,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2011-06-27,2017-06-03,ΖΑΠΠΕΙΟ
2016-05-30,2016-06-11,ΘΗΣΕΙΟ
2016-03-04,2016-09-13,ΠΕΤΡΑΛΩΝΑ
2016-05-31,2016-09-25,ΓΟΥΔΙ
2018-07-19,2016-07-04,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-06-01,2016-08-18,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-01-22,2017-02-17,ΑΚΡΟΠΟΛΗ
2016-06-01,2016-10-17,ΙΛΙΣΙΑ
2014-04-11,2016-06-07,1Ο ΝΕΚΡΟΤΑΦΕΙΟ
2016-06-01,,ΕΛΛΗΝΟΡΩΣΩΝ
2016-01-08,2016-07-06,ΑΚΡΟΠΟΛΗ
2016-06-02,2016-06-12,ΝΕΟΣ ΚΟΣΜΟΣ
2016-06-01,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-01,2016-06-27,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-04-07,2016-06-13,ΚΟΛΩΝΑΚΙ
2016-06-03,2016-09-01,ΚΥΨΕΛΗ
2014-08-23,2016-07-06,ΣΤΑΔΙΟ
2016-06-03,2016-11-12,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-03,2016-06-06,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-04-21,2016-06-17,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-06-25,2016-09-01,ΑΚΡΟΠΟΛΗ
2015-06-25,2016-07-29,ΑΚΡΟΠΟΛΗ
2013-04-28,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2015-07-29,2016-08-31,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2011-11-17,2017-02-26,ΚΕΡΑΜΕΙΚΟΣ
2013-10-08,2016-07-07,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-08-30,2016-07-16,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2015-07-21,2016-07-16,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-10-07,2016-07-25,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-03-12,2016-07-08,ΓΟΥΔΙ
2016-03-09,,ΑΜΠΕΛΟΚΗΠΟΙ
2016-06-01,,ΝΕΟΣ ΚΟΣΜΟΣ
2011-11-17,2016-07-16,ΚΕΡΑΜΕΙΚΟΣ
2014-10-19,2017-08-03,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2014-09-01,2016-06-23,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-10,2016-07-13,ΙΛΙΣΙΑ
2016-06-11,2016-07-05,ΓΚΥΖΗ
2015-04-23,2016-06-23,ΠΕΤΡΑΛΩΝΑ
2016-10-24,2016-09-30,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
2016-04-02,2016-08-08,ΙΛΙΣΙΑ
2016-06-13,2016-08-04,ΠΕΔΙΟ ΑΡΕΩΣ
2014-09-14,2016-06-19,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-04-20,2016-09-25,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-13,2016-09-11,ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-02-18,2016-12-11,ΛΥΚΑΒΗΤΤΟΣ
2016-06-14,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2015-04-17,2016-07-24,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-06-15,2016-07-04,ΠΑΓΚΡΑΤΙ
2016-06-16,2016-06-22,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-10-23,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-08-10,2016-06-27,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2015-04-07,2016-06-30,ΚΟΛΩΝΑΚΙ
2015-04-06,2016-06-22,ΚΕΡΑΜΕΙΚΟΣ
2016-06-18,2017-04-06,ΚΥΨΕΛΗ
2014-08-16,2016-07-13,ΖΑΠΠΕΙΟ
2016-06-18,,ΚΥΨΕΛΗ
2016-06-18,2016-08-26,ΑΜΠΕΛΟΚΗΠΟΙ
2014-03-06,2016-06-27,ΠΕΔΙΟ ΑΡΕΩΣ
2016-05-19,2016-08-31,ΠΑΓΚΡΑΤΙ
2016-05-20,2016-07-24,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-05-04,2016-09-18,ΖΑΠΠΕΙΟ
2012-04-01,2016-07-02,ΠΕΤΡΑΛΩΝΑ
2016-06-20,2016-08-25,1Ο ΝΕΚΡΟΤΑΦΕΙΟ
2016-06-06,2016-07-07,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-12-15,2016-07-23,ΙΛΙΣΙΑ
2016-06-15,2016-06-25,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-15,2016-07-11,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-15,2016-06-28,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-01-18,2016-06-30,ΑΚΡΟΠΟΛΗ
2016-06-21,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ
2011-06-27,2016-11-09,ΘΗΣΕΙΟ
2016-06-20,2016-09-19,ΝΕΟΣ ΚΟΣΜΟΣ
2016-05-11,2016-09-08,ΚΕΡΑΜΕΙΚΟΣ
2016-06-22,2016-09-01,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-06-22,2016-07-28,ΚΟΛΩΝΑΚΙ
2016-06-23,2016-06-28,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-05-02,2016-07-16,ΑΜΠΕΛΟΚΗΠΟΙ
2016-06-24,2016-09-12,ΚΥΨΕΛΗ
2016-06-24,2016-07-06,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-04-12,2018-12-14,ΓΟΥΒΑ
2016-06-13,2016-07-18,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-06-25,2016-09-15,ΕΛΛΗΝΟΡΩΣΩΝ
2016-06-26,2016-07-16,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-06-26,2016-07-23,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-02-13,2016-09-19,ΚΟΛΩΝΑΚΙ
2016-06-27,,ΝΕΟΣ ΚΟΣΜΟΣ
2016-06-27,2016-07-23,ΠΑΓΚΡΑΤΙ
2011-06-01,2016-07-25,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2014-07-05,,ΙΛΙΣΙΑ
2014-10-02,2016-07-07,ΝΕΟΣ ΚΟΣΜΟΣ
2016-06-28,2016-07-24,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2013-08-15,2016-09-28,ΠΕΤΡΑΛΩΝΑ
2016-05-25,2016-07-05,ΝΕΑ ΚΥΨΕΛΗ
2016-06-28,2016-07-23,ΝΕΟΣ ΚΟΣΜΟΣ
2011-11-17,2016-10-17,ΚΕΡΑΜΕΙΚΟΣ
2015-07-20,2016-08-21,ΚΕΡΑΜΕΙΚΟΣ
2016-06-29,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-10-02,2016-07-04,ΝΕΟΣ ΚΟΣΜΟΣ
2016-06-30,2016-11-06,ΒΟΤΑΝΙΚΟΣ
2013-04-07,2017-06-08,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-05-08,2016-07-07,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-05-15,2016-09-29,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2011-11-17,2017-06-12,ΚΕΡΑΜΕΙΚΟΣ
2010-10-13,2017-04-16,ΘΗΣΕΙΟ
2016-07-03,2017-04-05,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-07-04,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2011-06-01,2016-07-13,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2013-10-07,2016-09-01,ΑΚΡΟΠΟΛΗ
2016-06-02,2016-12-17,ΚΟΛΩΝΑΚΙ
2011-06-01,2017-08-21,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2011-06-01,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2015-10-19,2016-09-19,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-04-01,2016-07-12,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-07-16,2019-07-26,ΠΑΓΚΡΑΤΙ
2016-07-05,2017-06-19,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-07-05,2016-07-17,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ
2014-10-02,2016-07-09,ΝΕΟΣ ΚΟΣΜΟΣ
2015-04-08,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2012-01-18,2016-07-12,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-06-01,2020-09-08,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-06-01,,ΖΑΠΠΕΙΟ
2016-06-01,2016-08-31,ΣΤΑΔΙΟ
2016-06-01,2020-12-31,ΠΑΓΚΡΑΤΙ
2016-06-01,2020-03-03,ΠΑΓΚΡΑΤΙ
2016-06-25,2017-11-13,ΝΙΡΒΑΝΑ
2016-07-07,,ΠΕΔΙΟ ΑΡΕΩΣ
2014-07-23,2016-07-18,ΒΟΤΑΝΙΚΟΣ
2012-01-18,2016-08-02,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2014-07-30,2016-09-23,ΚΟΛΩΝΑΚΙ
2016-07-08,,ΝΕΟΣ ΚΟΣΜΟΣ
2016-05-23,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2012-10-13,2016-07-12,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-04-07,2016-09-15,ΚΟΛΩΝΑΚΙ
2016-07-11,2016-08-06,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-09-03,2016-08-07,ΚΕΡΑΜΕΙΚΟΣ
2016-07-12,2018-08-22,ΝΕΟΣ ΚΟΣΜΟΣ
2012-10-13,2016-07-17,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-03-21,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-07-10,2016-07-27,ΠΑΓΚΡΑΤΙ
2012-06-23,2016-09-11,ΚΟΛΩΝΑΚΙ
2016-07-05,2016-08-14,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-07-13,,ΓΟΥΒΑ
2016-04-20,2017-06-27,ΠΕΔΙΟ ΑΡΕΩΣ
2013-10-18,2016-08-30,ΘΗΣΕΙΟ
2015-11-23,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-07-15,2016-09-30,ΝΙΡΒΑΝΑ
2016-02-15,2016-10-17,ΚΥΨΕΛΗ
2016-05-06,2018-03-08,ΚΥΨΕΛΗ
2016-01-01,2016-09-03,ΑΜΠΕΛΟΚΗΠΟΙ
2016-07-17,2016-07-23,ΝΕΟΣ ΚΟΣΜΟΣ
2016-02-08,2016-08-08,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-02-15,2020-09-30,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-12-08,2016-08-05,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-07-18,2016-08-26,ΣΤΑΔΙΟ
2016-07-19,2016-10-12,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-07-13,2016-08-04,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-06-05,2016-08-01,ΚΕΡΑΜΕΙΚΟΣ
2015-05-09,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2015-06-18,2016-08-08,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-01-04,2016-09-09,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-07-19,2017-01-05,ΑΝΩ ΠΑΤΗΣΙΑ
2016-07-20,,ΑΚΡΟΠΟΛΗ
2014-02-07,2017-04-11,ΝΕΟΣ ΚΟΣΜΟΣ
2016-07-06,2016-08-18,ΑΚΡΟΠΟΛΗ
2016-07-21,2016-09-09,ΚΟΛΩΝΑΚΙ
2016-07-21,2016-10-15,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2013-04-10,2016-08-12,ΠΑΓΚΡΑΤΙ
2013-01-11,2016-09-09,ΛΥΚΑΒΗΤΤΟΣ
2016-07-21,2017-06-29,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
2015-10-31,2016-08-10,ΝΙΡΒΑΝΑ
2013-02-16,2016-08-05,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-07-22,2016-08-11,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2015-04-13,2016-09-22,ΝΕΟΣ ΚΟΣΜΟΣ
2016-07-22,2017-06-25,ΑΜΠΕΛΟΚΗΠΟΙ
2013-05-22,2016-08-03,ΖΑΠΠΕΙΟ
2015-05-09,2016-09-11,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-05-11,2016-09-12,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-06-10,2016-10-04,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-07-25,2017-05-15,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-25,2016-09-02,ΠΕΔΙΟ ΑΡΕΩΣ
2016-07-26,2016-08-10,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-26,2016-08-18,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-07-27,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-07-27,2018-08-01,ΑΜΠΕΛΟΚΗΠΟΙ
2016-05-19,2016-08-15,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2014-04-18,2016-12-13,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-07-27,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-07-28,2017-04-11,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-07-27,2016-08-18,ΑΜΠΕΛΟΚΗΠΟΙ
2016-05-19,2016-08-06,ΘΗΣΕΙΟ
2015-02-26,2016-09-12,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-07-29,,ΑΚΡΟΠΟΛΗ
2016-07-31,2016-08-08,ΑΚΡΟΠΟΛΗ
2011-06-27,2016-08-29,ΝΕΟΣ ΚΟΣΜΟΣ
2016-05-04,2016-08-09,ΝΕΟΣ ΚΟΣΜΟΣ
2016-08-01,2016-09-16,ΑΚΡΟΠΟΛΗ
2016-08-01,,ΣΤΑΔΙΟ
2016-07-29,2016-08-10,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-02-02,2017-05-07,ΛΥΚΑΒΗΤΤΟΣ
2016-06-13,2017-07-31,ΚΥΨΕΛΗ
2014-07-05,,ΙΛΙΣΙΑ
2016-03-14,2016-08-20,ΙΛΙΣΙΑ
2016-07-03,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2015-06-18,2016-08-27,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-03-18,2017-12-27,ΑΝΩ ΚΥΨΕΛΗ
2016-08-05,2016-08-11,ΝΕΑ ΚΥΨΕΛΗ
2016-06-13,,ΚΥΨΕΛΗ
2016-08-05,2016-09-08,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2013-04-10,2016-09-03,ΠΑΓΚΡΑΤΙ
2016-06-29,2017-07-07,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-08-08,2016-09-13,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2016-08-08,,ΠΕΔΙΟ ΑΡΕΩΣ
2014-07-09,,ΠΑΓΚΡΑΤΙ
2014-07-23,2016-09-01,ΒΟΤΑΝΙΚΟΣ
2016-08-08,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-08-09,2017-02-10,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-04-15,2017-05-24,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-10,2016-09-14,ΠΑΓΚΡΑΤΙ
2015-11-04,2016-08-18,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-08-11,2016-09-14,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2013-04-10,2018-07-15,ΠΑΓΚΡΑΤΙ
2016-08-11,2016-09-23,ΘΗΣΕΙΟ
2015-09-10,2016-08-24,ΛΥΚΑΒΗΤΤΟΣ
2016-08-12,2016-09-12,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-10-07,2016-08-25,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2016-08-13,2016-08-28,ΑΜΠΕΛΟΚΗΠΟΙ
2016-07-17,2016-08-20,ΝΕΟΣ ΚΟΣΜΟΣ
2015-08-05,2016-09-01,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2015-08-04,2016-08-30,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-08-17,2016-08-22,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-04-29,2017-05-17,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
2015-03-15,,ΒΟΤΑΝΙΚΟΣ
2013-07-28,2016-08-23,ΑΜΠΕΛΟΚΗΠΟΙ
2016-08-19,2016-10-15,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-07-27,2018-08-15,ΑΜΠΕΛΟΚΗΠΟΙ
2016-07-17,2016-09-01,ΝΕΟΣ ΚΟΣΜΟΣ
2013-10-20,2016-09-18,ΠΑΓΚΡΑΤΙ
2013-10-07,,ΕΛΛΗΝΟΡΩΣΩΝ
2016-08-22,2016-08-31,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-06-22,2016-09-22,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2015-08-04,2016-09-18,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-07-14,2017-06-20,ΑΜΠΕΛΟΚΗΠΟΙ
2014-01-22,2017-01-02,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-06-10,2016-09-08,ΠΕΤΡΑΛΩΝΑ
2016-05-18,2017-05-08,ΠΕΤΡΑΛΩΝΑ
2015-08-10,2016-09-08,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-12-11,2016-09-04,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ
2015-05-09,2017-04-11,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-08-29,2016-09-04,ΓΚΑΖΙ
2015-04-18,2018-04-07,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
2016-08-29,2016-09-26,ΑΜΠΕΛΟΚΗΠΟΙ
2016-08-12,2016-09-14,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2015-08-10,2016-09-12,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-07-31,2016-09-10,ΝΕΟΣ ΚΟΣΜΟΣ
2015-05-04,2016-09-06,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-09-03,2016-09-21,ΠΑΓΚΡΑΤΙ
2014-06-16,2016-09-26,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-04-11,2018-04-29,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2014-09-08,2016-10-02,ΑΚΡΟΠΟΛΗ
2016-01-29,,ΑΜΠΕΛΟΚΗΠΟΙ
2014-08-03,,ΚΟΛΩΝΑΚΙ
2011-09-16,2016-09-28,ΠΑΓΚΡΑΤΙ
2013-10-20,2016-09-18,ΝΕΟΣ ΚΟΣΜΟΣ
2016-09-07,2016-09-15,ΙΛΙΣΙΑ
2014-05-30,,ΓΟΥΔΙ
2016-09-10,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2015-11-08,2016-09-18,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2013-04-23,2017-02-26,ΛΥΚΑΒΗΤΤΟΣ
2015-03-04,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-04-30,2016-09-27,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2012-10-13,2016-09-15,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-03-04,2016-11-13,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2015-03-04,2016-11-13,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-05-20,2019-04-21,ΣΕΠΟΛΙΑ
2015-03-24,2016-09-18,ΠΕΔΙΟ ΑΡΕΩΣ
2015-10-31,2016-10-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2016-05-02,2016-09-25,ΠΑΓΚΡΑΤΙ
2016-09-19,2016-09-26,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2014-07-23,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
2015-07-21,2016-10-05,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-09-22,2016-12-29,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2016-09-23,2017-04-07,ΑΚΡΟΠΟΛΗ
