host_since,first_review,neighbourhood_cleansed
2012-06-29,2014-07-05,ΠΕΤΡΑΛΩΝΑ
2012-07-02,2013-05-08,ΠΑΓΚΡΑΤΙ
2012-07-03,2012-10-08,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-07-02,2015-04-26,ΠΑΓΚΡΑΤΙ
2012-07-09,2015-05-05,ΘΗΣΕΙΟ
2012-06-11,2012-08-02,ΠΡΟΜΠΟΝΑ
2012-07-31,2013-12-29,ΝΕΟΣ ΚΟΣΜΟΣ
2012-08-02,2013-02-17,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2012-08-09,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-05-21,2016-01-05,ΓΚΑΖΙ
2011-11-17,2014-08-03,ΚΕΡΑΜΕΙΚΟΣ
2012-09-04,2015-09-11,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2012-09-09,2012-09-28,1Ο ΝΕΚΡΟΤΑΦΕΙΟ
2012-09-09,2012-10-05,ΣΤΑΔΙΟ
2012-09-13,2014-04-25,ΝΕΟΣ ΚΟΣΜΟΣ
2012-07-15,2012-09-29,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2012-06-04,2012-10-17,ΚΟΛΩΝΟΣ
2012-06-03,2013-05-09,ΘΗΣΕΙΟ
2012-09-20,2012-11-03,ΑΚΡΟΠΟΛΗ
2012-07-02,2012-10-30,ΠΑΓΚΡΑΤΙ
2011-05-29,2012-12-05,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2012-06-03,2013-04-15,ΠΕΤΡΑΛΩΝΑ
2012-10-04,2012-11-08,ΝΙΡΒΑΝΑ
2012-10-23,2013-02-12,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2012-10-23,2013-04-16,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
2012-10-28,2013-05-18,ΚΕΡΑΜΕΙΚΟΣ
2011-05-04,2013-01-18,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-11-12,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2012-11-13,2016-08-15,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2010-05-09,2013-02-26,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-11-26,2015-07-01,ΑΝΩ ΠΑΤΗΣΙΑ
2012-11-27,2013-04-13,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2012-11-29,2018-04-30,ΚΟΛΩΝΑΚΙ
2012-12-13,2013-07-07,ΚΥΨΕΛΗ
2012-12-13,2019-08-12,ΚΥΨΕΛΗ
2012-12-13,2019-07-26,ΚΥΨΕΛΗ
2013-01-03,2016-04-03,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2013-01-01,2014-08-09,ΙΛΙΣΙΑ
2013-01-14,2014-08-05,ΚΥΨΕΛΗ
2013-01-16,2013-04-07,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2018-10-22,2013-03-31,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2013-01-29,2013-03-16,ΝΕΑ ΚΥΨΕΛΗ
2013-01-29,2017-06-17,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2016-05-21,2013-05-13,ΙΛΙΣΙΑ
2013-02-02,2013-03-06,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2013-02-02,2013-03-25,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-11-17,2013-09-02,ΚΕΡΑΜΕΙΚΟΣ
2013-02-18,2013-04-09,ΚΟΛΩΝΑΚΙ
2013-02-11,2013-05-25,ΚΟΛΩΝΑΚΙ
2013-02-23,2013-10-21,ΚΕΡΑΜΕΙΚΟΣ
2011-03-24,2014-05-01,ΚΟΛΩΝΑΚΙ
2012-08-23,2016-07-19,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2013-03-19,2013-07-02,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ
2011-11-17,2014-09-12,ΚΕΡΑΜΕΙΚΟΣ
2012-12-11,2013-05-14,ΝΕΟΣ ΚΟΣΜΟΣ
2011-05-29,2013-07-23,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2013-04-20,2013-05-27,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2013-04-28,2013-06-04,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2013-04-30,2014-08-21,ΘΗΣΕΙΟ
2013-05-10,2013-06-28,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2013-05-17,,ΠΑΓΚΡΑΤΙ
2013-05-17,2013-06-05,ΖΑΠΠΕΙΟ
2011-05-16,2013-06-23,ΑΚΡΟΠΟΛΗ
2013-05-29,2013-08-14,ΑΜΠΕΛΟΚΗΠΟΙ
2014-03-14,2014-01-04,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2013-01-01,2013-07-09,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2013-05-30,2013-08-25,ΛΥΚΑΒΗΤΤΟΣ
2013-05-31,2013-10-08,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ
2013-02-25,2013-07-01,ΚΥΨΕΛΗ
